,ID,DataPost,DataColeta,DiaDaSemana,Perfil,Texto,Duracao,Duração Classificada,Event,Tie,Chin,Smile,Hat,Font,Forehead,Gesture,Joy,Person,Curtidas
55,7120178088524188934,2022-07-14 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #jair #realizacoes #governo #banqueiros #povo #brasil #🇧🇷 #desburocratizacao #cartorios #hoje #futuro #presidente #compartilhe #verdade,46.55,Curto,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6988
56,7120262614063516934,2022-07-14 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#jairbolsonaro #diferenca #lula #pt #hipocritas #brasil #deus #patria #familia #jair #bolsonaro #presidente #estadia #custo #zero #padrao #jornal #nacional #🇧🇷 #alo #rede #globo #compartilhe,37.45,Curto,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,9152
57,7120270818977844485,2022-07-14 00:00:00,2022-10-02,quinta-feira,lulaoficial,Olha como foi os #bastidores da #gravação 😎❤️🦑 #FAZoL #fazolchallenge #lula #makingof #antesedepois #comoficou,23.82,Muito curto,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6434
58,7120308034231913734,2022-07-14 00:00:00,2022-10-02,quinta-feira,lulaoficial,✨Eu sonho com um Brasil de oportunidades ✨ #vamosjuntospelobrasil #lula #amor #esperança #brasil #emocionante,51.36,Curto,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9393
59,7120312213142801669,2022-07-14 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#presidente #estado #emergencia #mais #necessitados #jair #bolsonaro #jairbolsonaro#auxilio #caminhao #caminhoneiro #brasil #auxiliobrasil #taxi #taxista #🇧🇷 #pec #verdade #pt #senador #deputado #psol #ajuda #compartilhe,56.79,Curto,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5828
60,7120372484049816838,2022-07-14 00:00:00,2022-10-02,quinta-feira,lulaoficial,"Todo mundo sabe que eu vou governar para todos mas prioritariamente para o povo pobre, o povo que mais necessita e o povo que trabalha #vamosjuntospelobrasil #lula #amor #economia #brasil",56.63,Curto,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,61500
61,7120415083867491589,2022-07-14 00:00:00,2022-10-02,quinta-feira,bolsonaromessiasjair,#jairbolsonaro #presidente #jair #bolsonaro #deus #patria #familia #evangelho #evangelica #aborto #escoria #brasil #acima #de #tudo #verdade #compartilhe #🇧🇷 #socialismo #comunismo,44.51,Curto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,39500
62,7120581357117394181,2022-07-15 00:00:00,2022-10-02,sexta-feira,bolsonaromessiasjair,#venezuela #brasil #presidente #jair #bolsonaro #jairbolsonaro #verdade #irmaos #socialismo #fome #miseria #violencia #deus #patria #familia #brasil #🇧🇷 #compartilhe,31.16,Curto,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,16000
63,7120608894753230086,2022-07-15 00:00:00,2022-10-02,sexta-feira,bolsonaromessiasjair,#jairbolsonaro #bolsonaro #jair #minas #gerais #minasgerais #mg #jf #juiz #de #fora #juizdefora #deus #patria #familia #liberdade #moto #jesus #🇧🇷 #presidente #obrigado #brazil #president #👍🏻,59.95,Curto,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8219
64,7120694066995531014,2022-07-15 00:00:00,2022-10-02,sexta-feira,bolsonaromessiasjair,#energia #nordeste #offshore #🇧🇷 #futuro #presidente #jair #bolsonaro #jairbolsonaro #meio #ambiente #limpo #brasil #presidente #compartilhe #hidrogenio #eolica #vento #👍🏻,25.24,Muito curto,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,52500
